Sample	Isoform	Gene	protocol	support_percent	sample_type
Mut1	Δ4	BRCA1	PacBio-WT	52.25	MutOnly
Mut1	Δ4q22	BRCA1	PacBio-WT	4.51	MutOnly
Mut1	Δ3	BRCA1	PacBio-WT	1.94	MutOnly
Mut1	Δ3,4	BRCA1	PacBio-WT	7.19	MutOnly
Mut1	Δ4,5	BRCA1	PacBio-WT	0.0	MutOnly
Mut1	ins 17:43110465-43110580	BRCA1	PacBio-WT	0.0	MutOnly
Mut1	ins 17:43110465-43110580 Δ4	BRCA1	PacBio-WT	0.0	MutOnly
Mut3	Δ8	BRCA1	PacBio-WT	0.83	MutOnly
Mut3	Δ8,9	BRCA1	PacBio-WT	14.96	MutOnly
Mut3	Δ8,9,10q	BRCA1	PacBio-WT	2.78	MutOnly
Mut3	Δ8,9,10	BRCA1	PacBio-WT	0.0	MutOnly
Mut3	Δ9	BRCA1	PacBio-WT	2.05	MutOnly
Mut3	Δ10q	BRCA1	PacBio-WT	21.69	MutOnly
Mut3	ins 17:43095923-43095942	BRCA1	PacBio-WT	0.0	MutOnly
Mut3	Δ8,10q	BRCA1	PacBio-WT	21.46	MutOnly
Mut3	Δ9,10q	BRCA1	PacBio-WT	0.0	MutOnly
Mut3	Δ10q ins 17:43079334-43079399	BRCA1	PacBio-WT	2.33	MutOnly
Mut8	Δ8	BRCA1	PacBio-WT	0.0	MutOnly
Mut8	Δ8,9	BRCA1	PacBio-WT	1.14	MutOnly
Mut8	Δ8,9,10q	BRCA1	PacBio-WT	2.02	MutOnly
Mut8	Δ8,9,10	BRCA1	PacBio-WT	6.96	MutOnly
Mut8	Δ9	BRCA1	PacBio-WT	0.0	MutOnly
Mut8	Δ10q	BRCA1	PacBio-WT	6.22	MutOnly
Mut8	ins 17:43095923-43095942	BRCA1	PacBio-WT	0.0	MutOnly
Mut8	Δ8,10q	BRCA1	PacBio-WT	0.0	MutOnly
Mut8	Δ9,10q	BRCA1	PacBio-WT	0.0	MutOnly
Mut8	Δ10q ins 17:43079334-43079399	BRCA1	PacBio-WT	0.0	MutOnly
Mut8	Δ10	BRCA1	PacBio-WT	6.82	MutOnly
Mut8	Δ8,9,10,11	BRCA1	PacBio-WT	0.0	MutOnly
Mut8	Δ8,10	BRCA1	PacBio-WT	1.08	MutOnly
Mut8	Δ9,10	BRCA1	PacBio-WT	4.0	MutOnly
Mut8	Δ10,11	BRCA1	PacBio-WT	0.0	MutOnly
Mut9	Δ20	BRCA1	PacBio-WT	0.0	MutOnly
Mut9	Δ20,22	BRCA1	PacBio-WT	3.23	MutOnly
Mut9	Δ21,22	BRCA1	PacBio-WT	0.0	MutOnly
Mut9	Δ22	BRCA1	PacBio-WT	37.92	MutOnly
Mut9	Δ21	BRCA1	PacBio-WT	1.21	MutOnly
Mut2	Δ19	BRCA2	PacBio-WT	0.0	MutOnly
Mut2	Δ20	BRCA2	PacBio-WT	97.13	MutOnly
Mut2	Δ19,20	BRCA2	PacBio-WT	0.0	MutOnly
Mut2	ins 13:32371101-32371165	BRCA2	PacBio-WT	0.0	MutOnly
Mut4	Δ13:32326244-32326282 Δ7	BRCA2	PacBio-WT	0.0	MutOnly
Mut4	Δ3,5	BRCA2	PacBio-WT	0.0	MutOnly
Mut4	Δ3,4,5	BRCA2	PacBio-WT	0.0	MutOnly
Mut4	ins 13:32326083-32326100	BRCA2	PacBio-WT	0.0	MutOnly
Mut4	Δ4,5,6,7	BRCA2	PacBio-WT	0.0	MutOnly
Mut4	Δ5	BRCA2	PacBio-WT	0.05	MutOnly
Mut4	Δ5,6,7	BRCA2	PacBio-WT	0.0	MutOnly
Mut4	Δ6,7	BRCA2	PacBio-WT	0.0	MutOnly
Mut5	Δ25	BRCA2	PacBio-WT	8.27	MutOnly
Mut5	ins 13:32379914-32380006	BRCA2	PacBio-WT	0.0	MutOnly
Mut6	Δ18	BRCA2	PacBio-WT	4.47	MutOnly
Mut6	Δ17,18	BRCA2	PacBio-WT	1.44	MutOnly
Mut1	Δ4	BRCA1	ONT-WT-A	29.69	MutOnly
Mut1	Δ4q22	BRCA1	ONT-WT-A	0.0	MutOnly
Mut1	Δ3	BRCA1	ONT-WT-A	0.0	MutOnly
Mut1	Δ3,4	BRCA1	ONT-WT-A	0.0	MutOnly
Mut1	Δ4,5	BRCA1	ONT-WT-A	0.0	MutOnly
Mut1	ins 17:43110465-43110580	BRCA1	ONT-WT-A	0.0	MutOnly
Mut1	ins 17:43110465-43110580 Δ4	BRCA1	ONT-WT-A	0.0	MutOnly
Mut3	Δ8	BRCA1	ONT-WT-A	0.0	MutOnly
Mut3	Δ8,9	BRCA1	ONT-WT-A	0.0	MutOnly
Mut3	Δ8,9,10q	BRCA1	ONT-WT-A	57.63	MutOnly
Mut3	Δ8,9,10	BRCA1	ONT-WT-A	0.0	MutOnly
Mut3	Δ9	BRCA1	ONT-WT-A	0.0	MutOnly
Mut3	Δ10q	BRCA1	ONT-WT-A	0.0	MutOnly
Mut3	ins 17:43095923-43095942	BRCA1	ONT-WT-A	0.0	MutOnly
Mut3	Δ8,10q	BRCA1	ONT-WT-A	0.0	MutOnly
Mut3	Δ9,10q	BRCA1	ONT-WT-A	0.0	MutOnly
Mut3	Δ10q ins 17:43079334-43079399	BRCA1	ONT-WT-A	0.0	MutOnly
Mut8	Δ8	BRCA1	ONT-WT-A	0.0	MutOnly
Mut8	Δ8,9	BRCA1	ONT-WT-A	1.67	MutOnly
Mut8	Δ8,9,10q	BRCA1	ONT-WT-A	0.0	MutOnly
Mut8	Δ8,9,10	BRCA1	ONT-WT-A	11.67	MutOnly
Mut8	Δ9	BRCA1	ONT-WT-A	0.0	MutOnly
Mut8	Δ10q	BRCA1	ONT-WT-A	0.0	MutOnly
Mut8	ins 17:43095923-43095942	BRCA1	ONT-WT-A	0.0	MutOnly
Mut8	Δ8,10q	BRCA1	ONT-WT-A	0.0	MutOnly
Mut8	Δ9,10q	BRCA1	ONT-WT-A	0.0	MutOnly
Mut8	Δ10q ins 17:43079334-43079399	BRCA1	ONT-WT-A	0.0	MutOnly
Mut8	Δ10	BRCA1	ONT-WT-A	35.0	MutOnly
Mut8	Δ8,9,10,11	BRCA1	ONT-WT-A	0.0	MutOnly
Mut8	Δ8,10	BRCA1	ONT-WT-A	0.0	MutOnly
Mut8	Δ9,10	BRCA1	ONT-WT-A	0.0	MutOnly
Mut8	Δ10,11	BRCA1	ONT-WT-A	0.0	MutOnly
Mut9	Δ20	BRCA1	ONT-WT-A	0.0	MutOnly
Mut9	Δ20,22	BRCA1	ONT-WT-A	0.0	MutOnly
Mut9	Δ21,22	BRCA1	ONT-WT-A	0.0	MutOnly
Mut9	Δ22	BRCA1	ONT-WT-A	0.0	MutOnly
Mut9	Δ21	BRCA1	ONT-WT-A	0.0	MutOnly
Mut2	Δ19	BRCA2	ONT-WT-A	0.0	MutOnly
Mut2	Δ20	BRCA2	ONT-WT-A	0.0	MutOnly
Mut2	Δ19,20	BRCA2	ONT-WT-A	0.0	MutOnly
Mut2	ins 13:32371101-32371165	BRCA2	ONT-WT-A	0.0	MutOnly
Mut4	Δ13:32326244-32326282 Δ7	BRCA2	ONT-WT-A	0.0	MutOnly
Mut4	Δ3,5	BRCA2	ONT-WT-A	0.0	MutOnly
Mut4	Δ3,4,5	BRCA2	ONT-WT-A	0.0	MutOnly
Mut4	ins 13:32326083-32326100	BRCA2	ONT-WT-A	0.0	MutOnly
Mut4	Δ4,5,6,7	BRCA2	ONT-WT-A	0.0	MutOnly
Mut4	Δ5	BRCA2	ONT-WT-A	0.0	MutOnly
Mut4	Δ5,6,7	BRCA2	ONT-WT-A	0.0	MutOnly
Mut4	Δ6,7	BRCA2	ONT-WT-A	0.0	MutOnly
Mut5	Δ25	BRCA2	ONT-WT-A	20.45	MutOnly
Mut5	ins 13:32379914-32380006	BRCA2	ONT-WT-A	0.0	MutOnly
Mut6	Δ18	BRCA2	ONT-WT-A	0.0	MutOnly
Mut6	Δ17,18	BRCA2	ONT-WT-A	0.0	MutOnly
Mut1	Δ4	BRCA1	ONT-WT-B	36.67	MutOnly
Mut1	Δ4q22	BRCA1	ONT-WT-B	0.0	MutOnly
Mut1	Δ3	BRCA1	ONT-WT-B	1.9	MutOnly
Mut1	Δ3,4	BRCA1	ONT-WT-B	0.0	MutOnly
Mut1	Δ4,5	BRCA1	ONT-WT-B	0.0	MutOnly
Mut1	ins 17:43110465-43110580	BRCA1	ONT-WT-B	0.0	MutOnly
Mut1	ins 17:43110465-43110580 Δ4	BRCA1	ONT-WT-B	0.0	MutOnly
Mut3	Δ8	BRCA1	ONT-WT-B	0.0	MutOnly
Mut3	Δ8,9	BRCA1	ONT-WT-B	4.69	MutOnly
Mut3	Δ8,9,10q	BRCA1	ONT-WT-B	0.0	MutOnly
Mut3	Δ8,9,10	BRCA1	ONT-WT-B	0.0	MutOnly
Mut3	Δ9	BRCA1	ONT-WT-B	0.0	MutOnly
Mut3	Δ10q	BRCA1	ONT-WT-B	23.94	MutOnly
Mut3	ins 17:43095923-43095942	BRCA1	ONT-WT-B	0.0	MutOnly
Mut3	Δ8,10q	BRCA1	ONT-WT-B	0.0	MutOnly
Mut3	Δ9,10q	BRCA1	ONT-WT-B	0.0	MutOnly
Mut3	Δ10q ins 17:43079334-43079399	BRCA1	ONT-WT-B	0.0	MutOnly
Mut8	Δ8	BRCA1	ONT-WT-B	0.0	MutOnly
Mut8	Δ8,9	BRCA1	ONT-WT-B	0.0	MutOnly
Mut8	Δ8,9,10q	BRCA1	ONT-WT-B	0.0	MutOnly
Mut8	Δ8,9,10	BRCA1	ONT-WT-B	23.44	MutOnly
Mut8	Δ9	BRCA1	ONT-WT-B	0.0	MutOnly
Mut8	Δ10q	BRCA1	ONT-WT-B	10.94	MutOnly
Mut8	ins 17:43095923-43095942	BRCA1	ONT-WT-B	0.0	MutOnly
Mut8	Δ8,10q	BRCA1	ONT-WT-B	0.0	MutOnly
Mut8	Δ9,10q	BRCA1	ONT-WT-B	0.0	MutOnly
Mut8	Δ10q ins 17:43079334-43079399	BRCA1	ONT-WT-B	0.0	MutOnly
Mut8	Δ10	BRCA1	ONT-WT-B	18.75	MutOnly
Mut8	Δ8,9,10,11	BRCA1	ONT-WT-B	0.0	MutOnly
Mut8	Δ8,10	BRCA1	ONT-WT-B	0.0	MutOnly
Mut8	Δ9,10	BRCA1	ONT-WT-B	20.31	MutOnly
Mut8	Δ10,11	BRCA1	ONT-WT-B	0.0	MutOnly
Mut9	Δ20	BRCA1	ONT-WT-B	0.0	MutOnly
Mut9	Δ20,22	BRCA1	ONT-WT-B	0.0	MutOnly
Mut9	Δ21,22	BRCA1	ONT-WT-B	0.0	MutOnly
Mut9	Δ22	BRCA1	ONT-WT-B	0.0	MutOnly
Mut9	Δ21	BRCA1	ONT-WT-B	0.0	MutOnly
Mut2	Δ19	BRCA2	ONT-WT-B	0.0	MutOnly
Mut2	Δ20	BRCA2	ONT-WT-B	18.18	MutOnly
Mut2	Δ19,20	BRCA2	ONT-WT-B	0.0	MutOnly
Mut2	ins 13:32371101-32371165	BRCA2	ONT-WT-B	0.0	MutOnly
Mut4	Δ13:32326244-32326282 Δ7	BRCA2	ONT-WT-B	0.0	MutOnly
Mut4	Δ3,5	BRCA2	ONT-WT-B	0.0	MutOnly
Mut4	Δ3,4,5	BRCA2	ONT-WT-B	0.0	MutOnly
Mut4	ins 13:32326083-32326100	BRCA2	ONT-WT-B	0.0	MutOnly
Mut4	Δ4,5,6,7	BRCA2	ONT-WT-B	0.0	MutOnly
Mut4	Δ5	BRCA2	ONT-WT-B	0.0	MutOnly
Mut4	Δ5,6,7	BRCA2	ONT-WT-B	0.0	MutOnly
Mut4	Δ6,7	BRCA2	ONT-WT-B	0.0	MutOnly
Mut5	Δ25	BRCA2	ONT-WT-B	0.0	MutOnly
Mut5	ins 13:32379914-32380006	BRCA2	ONT-WT-B	0.0	MutOnly
Mut6	Δ18	BRCA2	ONT-WT-B	0.0	MutOnly
Mut6	Δ17,18	BRCA2	ONT-WT-B	0.0	MutOnly
Mut1	Δ4	BRCA1	ONT-Direct	0.0	MutOnly
Mut1	Δ4q22	BRCA1	ONT-Direct	0.0	MutOnly
